userid,checktime,verifycode,workcode,sn
15,2025-11-24 01:37:55,0,0,A5NS193461028
17,2025-11-24 09:55:46,0,0,A5NS193461028
14,2025-11-24 10:27:07,0,0,A5NS193461028
14,2025-11-24 10:27:09,0,0,A5NS193461028
7,2025-11-24 10:48:52,0,0,A5NS193461028
15,2025-11-24 10:49:12,0,0,A5NS193461028
9,2025-11-24 11:01:37,0,0,A5NS193461028
15,2025-11-24 11:12:57,0,0,A5NS193461028
5,2025-11-24 11:14:16,0,0,A5NS193461028
16,2025-11-24 11:35:27,0,0,A5NS193461028
16,2025-11-24 11:35:31,0,0,A5NS193461028
15,2025-11-24 11:40:24,0,0,A5NS193461028
17,2025-11-24 11:54:27,0,0,A5NS193461028
13,2025-11-24 12:20:54,0,0,A5NS193461028
15,2025-11-24 12:44:38,0,0,A5NS193461028
16,2025-11-24 13:02:23,0,0,A5NS193461028
16,2025-11-24 13:39:38,0,0,A5NS193461028
16,2025-11-24 13:39:43,0,0,A5NS193461028
16,2025-11-24 15:29:07,0,0,A5NS193461028
16,2025-11-24 15:31:36,0,0,A5NS193461028
15,2025-11-24 15:54:12,0,0,A5NS193461028
15,2025-11-24 16:54:36,0,0,A5NS193461028
