userid,checktime,verifycode,workcode,sn
13,2026-02-11 10:16:42,0,0,A5NS193461028
13,2026-02-11 10:17:30,0,0,A5NS193461028
13,2026-02-11 10:17:37,0,0,A5NS193461028
13,2026-02-11 10:19:00,0,0,A5NS193461028
13,2026-02-11 10:19:06,0,0,A5NS193461028
13,2026-02-11 10:19:24,0,0,A5NS193461028
13,2026-02-11 10:19:32,0,0,A5NS193461028
15,2026-02-11 10:33:28,0,0,A5NS193461028
17,2026-02-11 10:52:32,0,0,A5NS193461028
7,2026-02-11 11:10:57,0,0,A5NS193461028
15,2026-02-11 11:11:13,0,0,A5NS193461028
16,2026-02-11 11:45:54,0,0,A5NS193461028
12,2026-02-11 12:07:05,0,0,A5NS193461028
15,2026-02-11 12:23:39,0,0,A5NS193461028
12,2026-02-11 12:37:18,0,0,A5NS193461028
16,2026-02-11 12:49:03,0,0,A5NS193461028
9,2026-02-11 12:57:35,0,0,A5NS193461028
2,2026-02-11 13:24:24,0,0,A5NS193461028
1,2026-02-11 13:24:38,0,0,A5NS193461028
15,2026-02-11 13:35:20,0,0,A5NS193461028
15,2026-02-11 13:38:44,0,0,A5NS193461028
15,2026-02-11 13:53:14,0,0,A5NS193461028
16,2026-02-11 14:00:00,0,0,A5NS193461028
18,2026-02-11 14:22:46,0,0,A5NS193461028
18,2026-02-11 14:22:47,0,0,A5NS193461028
30,2026-02-11 14:27:58,0,0,A5NS193461028
1,2026-02-11 15:27:33,0,0,A5NS193461028
15,2026-02-11 15:55:41,0,0,A5NS193461028
1,2026-02-11 16:19:12,0,0,A5NS193461028
5,2026-02-11 16:34:03,0,0,A5NS193461028
16,2026-02-11 17:15:39,0,0,A5NS193461028
16,2026-02-11 17:18:35,0,0,A5NS193461028
16,2026-02-11 17:34:52,0,0,A5NS193461028
