userid,checktime,verifycode,workcode,sn
5,2025-10-22 05:00:11,0,0,A5NS193461028
13,2025-10-22 09:01:40,0,0,A5NS193461028
7,2025-10-22 11:19:44,0,0,A5NS193461028
5,2025-10-22 12:17:43,0,0,A5NS193461028
5,2025-10-23 04:59:40,0,0,A5NS193461028
13,2025-10-23 09:04:50,0,0,A5NS193461028
8,2025-10-23 10:52:38,0,0,A5NS193461028
7,2025-10-23 11:04:35,0,0,A5NS193461028
9,2025-10-23 11:23:51,0,0,A5NS193461028
13,2025-10-23 12:14:21,0,0,A5NS193461028
14,2025-10-23 12:58:58,0,0,A5NS193461028
15,2025-10-23 15:51:22,0,0,A5NS193461028
