userid,checktime,verifycode,workcode,sn
15,2025-12-30 05:28:57,0,0,A5NS193461028
5,2025-12-30 08:01:25,0,0,A5NS193461028
5,2025-12-30 08:01:27,0,0,A5NS193461028
15,2025-12-30 10:11:41,0,0,A5NS193461028
14,2025-12-30 10:22:41,0,0,A5NS193461028
8,2025-12-30 10:23:01,0,0,A5NS193461028
15,2025-12-30 10:38:44,0,0,A5NS193461028
3,2025-12-30 10:42:17,0,0,A5NS193461028
15,2025-12-30 11:23:08,0,0,A5NS193461028
9,2025-12-30 12:10:14,0,0,A5NS193461028
15,2025-12-30 12:31:22,0,0,A5NS193461028
15,2025-12-30 13:16:48,0,0,A5NS193461028
15,2025-12-30 15:19:47,0,0,A5NS193461028
14,2025-12-30 15:44:12,0,0,A5NS193461028
14,2025-12-30 15:44:13,0,0,A5NS193461028
14,2025-12-30 15:45:49,0,0,A5NS193461028
5,2025-12-30 15:50:36,0,0,A5NS193461028
15,2025-12-30 16:02:25,0,0,A5NS193461028
