userid,checktime,verifycode,workcode,sn
15,2026-01-26 03:05:14,0,0,A5NS193461028
14,2026-01-26 11:05:37,0,0,A5NS193461028
14,2026-01-26 11:05:39,0,0,A5NS193461028
13,2026-01-26 11:20:22,0,0,A5NS193461028
15,2026-01-26 11:21:55,0,0,A5NS193461028
29,2026-01-26 12:18:27,0,0,A5NS193461028
9,2026-01-26 12:28:53,0,0,A5NS193461028
5,2026-01-26 12:33:18,0,0,A5NS193461028
12,2026-01-26 12:34:30,0,0,A5NS193461028
12,2026-01-26 12:36:12,0,0,A5NS193461028
12,2026-01-26 12:41:43,0,0,A5NS193461028
15,2026-01-26 12:59:51,0,0,A5NS193461028
15,2026-01-26 14:58:59,0,0,A5NS193461028
15,2026-01-26 15:10:13,0,0,A5NS193461028
15,2026-01-26 15:10:48,0,0,A5NS193461028
5,2026-01-26 15:21:27,0,0,A5NS193461028
15,2026-01-26 16:05:47,0,0,A5NS193461028
15,2026-01-26 16:09:47,0,0,A5NS193461028
