userid,checktime,verifycode,workcode,sn
15,2025-12-24 01:34:21,0,0,A5NS193461028
15,2025-12-24 07:36:54,0,0,A5NS193461028
15,2025-12-24 07:36:55,0,0,A5NS193461028
13,2025-12-24 08:49:07,0,0,A5NS193461028
5,2025-12-24 09:28:39,0,0,A5NS193461028
15,2025-12-24 09:51:17,0,0,A5NS193461028
14,2025-12-24 10:42:19,0,0,A5NS193461028
14,2025-12-24 10:42:20,0,0,A5NS193461028
9,2025-12-24 11:12:47,0,0,A5NS193461028
15,2025-12-24 11:31:00,0,0,A5NS193461028
15,2025-12-24 12:26:32,0,0,A5NS193461028
15,2025-12-24 13:10:50,0,0,A5NS193461028
15,2025-12-24 13:47:40,0,0,A5NS193461028
13,2025-12-24 14:03:44,0,0,A5NS193461028
15,2025-12-24 14:11:46,0,0,A5NS193461028
