userid,checktime,verifycode,workcode,sn
5,2025-10-09 05:05:17,0,0,A5NS193461028
1,2025-10-09 07:43:42,0,0,A5NS193461028
5,2025-10-09 07:44:07,0,0,A5NS193461028
13,2025-10-09 10:11:10,0,0,A5NS193461028
29,2025-10-09 10:38:35,0,0,A5NS193461028
1,2025-10-09 11:15:40,0,0,A5NS193461028
7,2025-10-09 11:15:57,0,0,A5NS193461028
13,2025-10-09 12:13:36,0,0,A5NS193461028
1,2025-10-09 12:16:21,0,0,A5NS193461028
5,2025-10-09 12:16:39,0,0,A5NS193461028
5,2025-10-09 12:16:41,0,0,A5NS193461028
1,2025-10-09 15:22:23,0,0,A5NS193461028
1,2025-10-09 16:09:06,0,0,A5NS193461028
5,2025-10-09 19:36:20,0,0,A5NS193461028
