userid,checktime,verifycode,workcode,sn
13,2025-09-29 10:15:24,0,0,A5NS193461028
13,2025-09-29 10:34:31,0,0,A5NS193461028
13,2025-09-29 10:34:36,0,0,A5NS193461028
9,2025-09-29 11:26:31,0,0,A5NS193461028
7,2025-09-29 11:48:54,0,0,A5NS193461028
4,2025-09-29 12:09:49,0,0,A5NS193461028
15,2025-09-29 12:53:36,0,0,A5NS193461028
4,2025-09-30 09:48:54,0,0,A5NS193461028
3,2025-09-30 10:58:04,0,0,A5NS193461028
4,2025-09-30 11:38:27,0,0,A5NS193461028
7,2025-09-30 11:41:07,0,0,A5NS193461028
9,2025-09-30 11:45:13,0,0,A5NS193461028
22,2025-09-30 12:47:52,0,0,A5NS193461028
1,2025-09-30 12:57:06,0,0,A5NS193461028
5,2025-09-30 13:05:56,0,0,A5NS193461028
5,2025-09-30 13:05:58,0,0,A5NS193461028
1,2025-09-30 15:50:42,0,0,A5NS193461028
5,2025-09-30 18:38:24,0,0,A5NS193461028
