userid,checktime,verifycode,workcode,sn
5,2025-10-07 05:06:17,0,0,A5NS193461028
13,2025-10-07 09:15:52,0,0,A5NS193461028
3,2025-10-07 10:20:33,0,0,A5NS193461028
9,2025-10-07 10:42:10,0,0,A5NS193461028
7,2025-10-07 11:23:32,0,0,A5NS193461028
5,2025-10-07 12:18:31,0,0,A5NS193461028
16,2025-10-07 12:34:31,0,0,A5NS193461028
15,2025-10-07 12:56:06,0,0,A5NS193461028
16,2025-10-07 12:56:52,0,0,A5NS193461028
13,2025-10-07 17:39:39,0,0,A5NS193461028
5,2025-10-08 05:07:30,0,0,A5NS193461028
5,2025-10-08 05:07:31,0,0,A5NS193461028
13,2025-10-08 08:49:31,0,0,A5NS193461028
8,2025-10-08 10:32:59,0,0,A5NS193461028
7,2025-10-08 11:04:51,0,0,A5NS193461028
3,2025-10-08 11:30:46,0,0,A5NS193461028
5,2025-10-08 12:13:47,0,0,A5NS193461028
5,2025-10-08 12:13:48,0,0,A5NS193461028
12,2025-10-08 12:14:03,0,0,A5NS193461028
3,2025-10-08 16:10:59,0,0,A5NS193461028
5,2025-10-08 19:38:44,0,0,A5NS193461028
15,2025-10-08 19:53:57,0,0,A5NS193461028
