userid,checktime,verifycode,workcode,sn
5,2025-11-13 04:52:42,0,0,A5NS193461028
15,2025-11-13 07:56:12,0,0,A5NS193461028
15,2025-11-13 07:58:13,0,0,A5NS193461028
13,2025-11-13 09:25:06,0,0,A5NS193461028
5,2025-11-13 09:38:21,0,0,A5NS193461028
8,2025-11-13 09:48:14,0,0,A5NS193461028
29,2025-11-13 09:56:27,0,0,A5NS193461028
9,2025-11-13 10:14:45,0,0,A5NS193461028
2,2025-11-13 10:17:30,0,0,A5NS193461028
15,2025-11-13 10:27:17,0,0,A5NS193461028
7,2025-11-13 10:50:38,0,0,A5NS193461028
15,2025-11-13 10:50:51,0,0,A5NS193461028
15,2025-11-13 11:05:36,0,0,A5NS193461028
15,2025-11-13 11:08:27,0,0,A5NS193461028
15,2025-11-13 11:41:06,0,0,A5NS193461028
15,2025-11-13 11:56:40,0,0,A5NS193461028
15,2025-11-13 12:18:15,0,0,A5NS193461028
5,2025-11-13 12:19:47,0,0,A5NS193461028
15,2025-11-13 12:38:40,0,0,A5NS193461028
15,2025-11-13 12:46:11,0,0,A5NS193461028
5,2025-11-13 13:17:35,0,0,A5NS193461028
15,2025-11-13 13:41:41,0,0,A5NS193461028
12,2025-11-13 14:18:08,0,0,A5NS193461028
15,2025-11-13 14:29:48,0,0,A5NS193461028
9,2025-11-13 14:54:23,0,0,A5NS193461028
9,2025-11-13 15:23:20,0,0,A5NS193461028
15,2025-11-13 15:34:21,0,0,A5NS193461028
12,2025-11-13 17:42:43,0,0,A5NS193461028
