userid,checktime,verifycode,workcode,sn
15,2025-12-29 05:05:05,0,0,A5NS193461028
15,2025-12-29 07:10:33,0,0,A5NS193461028
15,2025-12-29 07:35:21,0,0,A5NS193461028
3,2025-12-29 10:02:33,0,0,A5NS193461028
3,2025-12-29 10:02:34,0,0,A5NS193461028
3,2025-12-29 10:11:52,0,0,A5NS193461028
29,2025-12-29 10:42:40,0,0,A5NS193461028
29,2025-12-29 10:43:47,0,0,A5NS193461028
29,2025-12-29 11:25:35,0,0,A5NS193461028
12,2025-12-29 11:44:12,0,0,A5NS193461028
3,2025-12-29 12:02:34,0,0,A5NS193461028
3,2025-12-29 12:02:36,0,0,A5NS193461028
15,2025-12-29 12:21:53,0,0,A5NS193461028
3,2025-12-29 12:23:54,0,0,A5NS193461028
29,2025-12-29 13:15:23,0,0,A5NS193461028
29,2025-12-29 13:35:31,0,0,A5NS193461028
12,2025-12-29 17:30:49,0,0,A5NS193461028
