userid,checktime,verifycode,workcode,sn
13,2025-10-27 08:42:12,0,0,A5NS193461028
7,2025-10-27 11:15:59,0,0,A5NS193461028
9,2025-10-27 11:23:57,0,0,A5NS193461028
9,2025-10-27 15:09:29,0,0,A5NS193461028
5,2025-10-28 05:01:24,0,0,A5NS193461028
13,2025-10-28 09:02:57,0,0,A5NS193461028
3,2025-10-28 09:56:40,0,0,A5NS193461028
14,2025-10-28 10:54:11,0,0,A5NS193461028
7,2025-10-28 10:54:29,0,0,A5NS193461028
5,2025-10-29 04:59:16,0,0,A5NS193461028
13,2025-10-29 08:58:35,0,0,A5NS193461028
14,2025-10-29 10:18:32,0,0,A5NS193461028
8,2025-10-29 10:20:02,0,0,A5NS193461028
7,2025-10-29 10:53:21,0,0,A5NS193461028
9,2025-10-29 11:35:26,0,0,A5NS193461028
13,2025-10-29 12:45:49,0,0,A5NS193461028
3,2025-10-29 15:21:36,0,0,A5NS193461028
5,2025-10-30 04:58:21,0,0,A5NS193461028
13,2025-10-30 09:40:32,0,0,A5NS193461028
8,2025-10-30 10:17:33,0,0,A5NS193461028
9,2025-10-30 11:06:20,0,0,A5NS193461028
7,2025-10-30 11:15:28,0,0,A5NS193461028
15,2025-10-30 11:15:39,0,0,A5NS193461028
5,2025-10-30 12:13:59,0,0,A5NS193461028
5,2025-10-30 12:14:00,0,0,A5NS193461028
13,2025-10-30 12:57:54,0,0,A5NS193461028
5,2025-10-30 19:03:25,0,0,A5NS193461028
5,2025-10-30 19:03:27,0,0,A5NS193461028
5,2025-10-30 19:40:36,0,0,A5NS193461028
15,2025-10-31 01:08:29,0,0,A5NS193461028
5,2025-10-31 04:55:56,0,0,A5NS193461028
12,2025-10-31 07:10:28,0,0,A5NS193461028
13,2025-10-31 10:30:27,0,0,A5NS193461028
13,2025-10-31 12:11:04,0,0,A5NS193461028
5,2025-10-31 12:19:50,0,0,A5NS193461028
15,2025-10-31 13:16:14,0,0,A5NS193461028
