userid,checktime,verifycode,workcode,sn
15,2026-02-27 04:12:00,0,0,A5NS193461028
5,2026-02-27 04:39:47,0,0,A5NS193461028
5,2026-02-27 04:40:40,0,0,A5NS193461028
5,2026-02-27 04:40:42,0,0,A5NS193461028
5,2026-02-27 05:26:05,0,0,A5NS193461028
15,2026-02-27 05:47:32,0,0,A5NS193461028
15,2026-02-27 08:17:19,0,0,A5NS193461028
15,2026-02-27 08:19:26,0,0,A5NS193461028
5,2026-02-27 09:09:32,0,0,A5NS193461028
15,2026-02-27 10:47:04,0,0,A5NS193461028
15,2026-02-27 10:48:18,0,0,A5NS193461028
12,2026-02-27 12:45:43,0,0,A5NS193461028
15,2026-02-27 13:00:45,0,0,A5NS193461028
15,2026-02-27 13:03:26,0,0,A5NS193461028
40,2026-02-27 15:16:13,0,0,A5NS193461028
15,2026-02-27 15:55:23,0,0,A5NS193461028
