userid,checktime,verifycode,workcode,sn
5,2025-10-30 04:58:21,0,0,A5NS193461028
13,2025-10-30 09:40:32,0,0,A5NS193461028
8,2025-10-30 10:17:33,0,0,A5NS193461028
9,2025-10-30 11:06:20,0,0,A5NS193461028
7,2025-10-30 11:15:28,0,0,A5NS193461028
15,2025-10-30 11:15:39,0,0,A5NS193461028
5,2025-10-30 12:13:59,0,0,A5NS193461028
5,2025-10-30 12:14:00,0,0,A5NS193461028
13,2025-10-30 12:57:54,0,0,A5NS193461028
5,2025-10-30 19:03:25,0,0,A5NS193461028
5,2025-10-30 19:03:27,0,0,A5NS193461028
5,2025-10-30 19:40:36,0,0,A5NS193461028
15,2025-10-31 01:08:29,0,0,A5NS193461028
5,2025-10-31 04:55:56,0,0,A5NS193461028
12,2025-10-31 07:10:28,0,0,A5NS193461028
13,2025-10-31 10:30:27,0,0,A5NS193461028
13,2025-10-31 12:11:04,0,0,A5NS193461028
5,2025-10-31 12:19:50,0,0,A5NS193461028
15,2025-10-31 13:16:14,0,0,A5NS193461028
17,2025-11-03 07:34:29,0,0,A5NS193461028
17,2025-11-03 08:05:13,0,0,A5NS193461028
13,2025-11-03 09:00:12,0,0,A5NS193461028
29,2025-11-03 09:38:32,0,0,A5NS193461028
29,2025-11-03 10:35:19,0,0,A5NS193461028
7,2025-11-03 11:18:57,0,0,A5NS193461028
9,2025-11-03 11:38:19,0,0,A5NS193461028
29,2025-11-03 11:41:00,0,0,A5NS193461028
9,2025-11-03 15:05:39,0,0,A5NS193461028
25,2025-11-04 07:28:26,0,0,A5NS193461028
29,2025-11-04 09:00:51,0,0,A5NS193461028
12,2025-11-04 09:35:37,0,0,A5NS193461028
2,2025-11-04 09:42:09,0,0,A5NS193461028
8,2025-11-04 09:47:06,0,0,A5NS193461028
7,2025-11-04 10:35:22,0,0,A5NS193461028
17,2025-11-04 11:04:03,0,0,A5NS193461028
5,2025-11-04 11:36:54,0,0,A5NS193461028
17,2025-11-04 12:23:05,0,0,A5NS193461028
15,2025-11-04 12:33:27,0,0,A5NS193461028
13,2025-11-04 12:34:11,0,0,A5NS193461028
13,2025-11-04 12:34:23,0,0,A5NS193461028
18,2025-11-04 13:21:28,0,0,A5NS193461028
18,2025-11-04 13:21:29,0,0,A5NS193461028
18,2025-11-04 15:25:49,0,0,A5NS193461028
15,2025-11-04 18:42:41,0,0,A5NS193461028
5,2025-11-04 19:32:42,0,0,A5NS193461028
5,2025-11-04 19:47:53,0,0,A5NS193461028
5,2025-11-05 04:56:37,0,0,A5NS193461028
15,2025-11-05 06:13:06,0,0,A5NS193461028
29,2025-11-05 08:23:47,0,0,A5NS193461028
29,2025-11-05 08:25:14,0,0,A5NS193461028
13,2025-11-05 08:45:37,0,0,A5NS193461028
15,2025-11-05 10:30:11,0,0,A5NS193461028
7,2025-11-05 10:55:51,0,0,A5NS193461028
17,2025-11-05 11:01:16,0,0,A5NS193461028
5,2025-11-05 12:03:12,0,0,A5NS193461028
15,2025-11-05 12:03:27,0,0,A5NS193461028
9,2025-11-05 12:18:06,0,0,A5NS193461028
1,2025-11-05 13:33:25,0,0,A5NS193461028
15,2025-11-05 13:33:48,0,0,A5NS193461028
15,2025-11-05 14:18:00,0,0,A5NS193461028
9,2025-11-05 15:14:02,0,0,A5NS193461028
15,2025-11-05 15:25:30,0,0,A5NS193461028
15,2025-11-05 22:06:04,0,0,A5NS193461028
5,2025-11-06 04:55:16,0,0,A5NS193461028
13,2025-11-06 08:45:07,0,0,A5NS193461028
3,2025-11-06 09:22:36,0,0,A5NS193461028
3,2025-11-06 09:22:38,0,0,A5NS193461028
3,2025-11-06 09:27:51,0,0,A5NS193461028
15,2025-11-06 10:49:48,0,0,A5NS193461028
9,2025-11-06 10:51:02,0,0,A5NS193461028
