userid,checktime,verifycode,workcode,sn
5,2025-10-01 05:12:33,0,0,A5NS193461028
13,2025-10-01 09:20:20,0,0,A5NS193461028
4,2025-10-01 09:32:29,0,0,A5NS193461028
1,2025-10-01 09:42:53,0,0,A5NS193461028
7,2025-10-01 10:55:50,0,0,A5NS193461028
9,2025-10-01 11:59:56,0,0,A5NS193461028
4,2025-10-01 12:08:51,0,0,A5NS193461028
1,2025-10-01 12:18:39,0,0,A5NS193461028
5,2025-10-01 12:18:50,0,0,A5NS193461028
13,2025-10-01 17:38:26,0,0,A5NS193461028
5,2025-10-01 23:52:48,0,0,A5NS193461028
5,2025-10-02 05:08:48,0,0,A5NS193461028
13,2025-10-02 08:47:05,0,0,A5NS193461028
29,2025-10-02 10:24:57,0,0,A5NS193461028
9,2025-10-02 10:29:11,0,0,A5NS193461028
7,2025-10-02 10:44:07,0,0,A5NS193461028
4,2025-10-02 11:05:34,0,0,A5NS193461028
5,2025-10-02 12:24:14,0,0,A5NS193461028
15,2025-10-02 12:29:33,0,0,A5NS193461028
5,2025-10-02 15:35:11,0,0,A5NS193461028
5,2025-10-03 05:11:50,0,0,A5NS193461028
29,2025-10-03 05:55:22,0,0,A5NS193461028
15,2025-10-03 09:08:39,0,0,A5NS193461028
5,2025-10-03 12:29:45,0,0,A5NS193461028
13,2025-10-06 09:21:35,0,0,A5NS193461028
4,2025-10-06 10:28:09,0,0,A5NS193461028
9,2025-10-06 10:48:05,0,0,A5NS193461028
29,2025-10-06 11:26:07,0,0,A5NS193461028
5,2025-10-06 11:42:08,0,0,A5NS193461028
16,2025-10-06 12:26:12,0,0,A5NS193461028
16,2025-10-06 14:23:30,0,0,A5NS193461028
18,2025-10-06 14:40:55,0,0,A5NS193461028
18,2025-10-06 14:40:56,0,0,A5NS193461028
18,2025-10-06 15:46:34,0,0,A5NS193461028
29,2025-10-06 16:27:11,0,0,A5NS193461028
5,2025-10-06 18:17:58,0,0,A5NS193461028
5,2025-10-07 05:06:17,0,0,A5NS193461028
13,2025-10-07 09:15:52,0,0,A5NS193461028
3,2025-10-07 10:20:33,0,0,A5NS193461028
9,2025-10-07 10:42:10,0,0,A5NS193461028
7,2025-10-07 11:23:32,0,0,A5NS193461028
5,2025-10-07 12:18:31,0,0,A5NS193461028
16,2025-10-07 12:34:31,0,0,A5NS193461028
15,2025-10-07 12:56:06,0,0,A5NS193461028
